S.No.,State,ISO,Capital,Zone,Largest city,Statehood,Population (2011),Area (km2),Official languages,Additional official languages,Vehicle code
1,Andhra Pradesh,IN-AP,Amaravati,Southern,Visakhapatnam,1 November 1956,"49,506,799","162,975",Telugu,Urdu,AP
2,Arunachal Pradesh,IN-AR,Itanagar,North-Eastern,Itanagar,20 February 1987,"1,383,727","83,743",English,—,AR
3,Assam,IN-AS,Dispur,North-Eastern,Guwahati,26 January 1950,"31,205,576","78,550",Assamese,"Bengali, Bodo",AS
4,Bihar,IN-BR,Patna,Eastern,Patna,26 January 1950,"104,099,452","94,163",Hindi,Urdu,BR
5,Chhattisgarh,IN-CT,Raipur,Central,Raipur,1 November 2000,"25,545,198","135,194",Hindi,Chhattisgarhi,CG
6,Goa,IN-GA,Panaji,Western,Vasco da Gama,30 May 1987,"1,458,545","3,702",Konkani,Marathi,GA
7,Gujarat,IN-GJ,Gandhinagar,Western,Ahmedabad,1 May 1960,"60,439,692","196,024",Gujarati,—,GJ
8,Haryana,IN-HR,Chandigarh,Northern,Faridabad,1 November 1966,"25,351,462","44,212",Hindi,Punjabi,HR
9,Himachal Pradesh,IN-HP,"Shimla (Summer)
Dharamshala (Winter)",Northern,Shimla,25 January 1971,"6,864,602","55,673",Hindi,Sanskrit,HP
10,Jharkhand,IN-JH,Ranchi,Eastern,Jamshedpur,15 November 2000,"32,988,134","79,716",Hindi,"Angika, Bengali, Bhojpuri, Bhumij, Ho, Kharia, Khortha, Kurmali, Kurukh, Magahi, Maithili, Mundari, Nagpuri, Odia, Santali, Urdu",JH
11,Karnataka,IN-KA,Bangalore,Southern,Bangalore,1 November 1956,"61,095,297","191,791",Kannada,—,KA
12,Kerala,IN-KL,Thiruvananthapuram,Southern,Thiruvananthapuram,1 November 1956,"33,406,061","38,863",Malayalam,English,KL
13,Madhya Pradesh,IN-MP,Bhopal,Central,Indore,26 January 1950,"72,626,809","308,252",Hindi,—,MP
14,Maharashtra,IN-MH,"Mumbai (Summer)
Nagpur (Winter)",Western,Mumbai,1 May 1960,"112,374,333","307,713",Marathi,—,MH
15,Manipur,IN-MN,Imphal,North-Eastern,Imphal,21 January 1972,"2,855,794","22,347",Meitei,English,MN
16,Meghalaya,IN-ML,Shillong,North-Eastern,Shillong,21 January 1972,"2,966,889","22,720",English,Khasi,ML
17,Mizoram,IN-MZ,Aizawl,North-Eastern,Aizawl,20 February 1987,"1,097,206","21,081","English, Hindi, Mizo",—,MZ
18,Nagaland,IN-NL,Kohima,North-Eastern,Dimapur,1 December 1963,"1,978,502","16,579",English,—,NL
19,Odisha,IN-OR,Bhubaneswar,Eastern,Bhubaneswar,26 January 1950,"41,974,218","155,820",Odia,—,OD
20,Punjab,IN-PB,Chandigarh,Northern,Ludhiana,1 November 1966,"27,743,338","50,362",Punjabi,—,PB
21,Rajasthan,IN-RJ,Jaipur,Northern,Jaipur,26 January 1950,"68,548,437","342,269",Hindi,English,RJ
22,Sikkim,IN-SK,Gangtok,North-Eastern,Gangtok,16 May 1975,"610,577","7,096","English, Nepali","Bhutia, Gurung, Lepcha, Limbu, Manggar, Mukhia, Newari, Rai, Sherpa, Tamang",SK
23,Tamil Nadu,IN-TN,Chennai,Southern,Chennai,1 November 1956,"72,147,030","130,058",Tamil,English,TN
24,Telangana,IN-TG,Hyderabad,Southern,Hyderabad,2 June 2014,"35,193,978","112,077",Telugu,Urdu,TS
25,Tripura,IN-TR,Agartala,North-Eastern,Agartala,21 January 1972,"3,673,917","10,492","Bengali, English, Kokborok",—,TR
26,Uttar Pradesh,IN-UP,Lucknow,Central,Lucknow,26 January 1950,"199,812,341","243,286",Hindi,Urdu,UP
27,Uttarakhand,IN-UT,"Bhararisain (Summer)
Dehradun (Winter)",Central,Dehradun,9 November 2000,"10,086,292","53,483",Hindi,Sanskrit,UK
28,West Bengal,IN-WB,Kolkata,Eastern,Kolkata,26 January 1950,"91,276,115","88,752","Bengali, Nepali","Hindi, Odia, Punjabi, Santali, Telugu, Urdu",WB
,,,,,,,,,,,
https://www.downloadexcelfiles.com/,,,,,,,,,,,
